Date,_Total NC Natural Gas ,_Residential Natural Gas,_Commercial Natural Gas,_Industrial Natural Gas,_Electric Natural Gas,Cooling Degree Days,Cooling_Degree_Days_POW2,Heating Degree Days,Heating_Degree_Days_POW2,Mean Maximum Temp,Mean MinimumTemp,Mean Temp,Trend,Month,Month_EQ__01,Month_EQ__02,Month_EQ__03,Month_EQ__04,Month_EQ__05,Month_EQ__06,Month_EQ__07,Month_EQ__08,Month_EQ__09,Month_EQ__10,Month_EQ__11,Month_EQ__12
Jan-09,33360,14881,8960,7722,1798,0,0,443,196160,9,-1,4,97,_01,1,0,0,0,0,0,0,0,0,0,0,0
Feb-09,26215,10616,6565,7121,1912,0,0,317,100616,13,1,7,98,_02,0,1,0,0,0,0,0,0,0,0,0,0
Mar-09,24096,8259,5670,7493,2674,6,37,253,64043,16,5,10,99,_03,0,0,1,0,0,0,0,0,0,0,0,0
Apr-09,14130,3243,3161,6412,1314,23,537,96,9184,23,9,16,100,_04,0,0,0,1,0,0,0,0,0,0,0,0
May-09,11754,1315,2464,6215,1761,102,10486,23,514,26,15,21,101,_05,0,0,0,0,1,0,0,0,0,0,0,0
Jun-09,13141,754,1853,6053,4481,201,40562,0,0,31,19,25,102,_06,0,0,0,0,0,1,0,0,0,0,0,0
Jul-09,14301,962,1983,6052,5303,220,48253,0,0,31,20,25,103,_07,0,0,0,0,0,0,1,0,0,0,0,0
Aug-09,17248,947,2064,6300,7937,245,59894,0,0,32,21,26,104,_08,0,0,0,0,0,0,0,1,0,0,0,0
Sep-09,17018,1128,2450,6337,7103,104,10802,6,39,27,16,22,105,_09,0,0,0,0,0,0,0,0,1,0,0,0
Oct-09,14783,2760,3598,7166,1259,13,180,109,11976,21,10,15,106,_10,0,0,0,0,0,0,0,0,0,1,0,0
Nov-09,20251,6420,4375,7215,2241,0,0,202,40629,17,6,12,107,_11,0,0,0,0,0,0,0,0,0,0,1,0
Dec-09,32818,14358,8161,8166,2133,0,0,433,187547,9,-1,4,108,_12,0,0,0,0,0,0,0,0,0,0,0,1
Jan-10,39947,17239,9701,8409,4595,0,0,479,229473,9,-3,3,109,_01,1,0,0,0,0,0,0,0,0,0,0,0
Feb-10,35317,14708,8911,8600,3096,0,0,427,182471,8,-2,3,110,_02,0,1,0,0,0,0,0,0,0,0,0,0
Mar-10,23668,7595,5153,8362,2555,0,0,234,54975,17,4,11,111,_03,0,0,1,0,0,0,0,0,0,0,0,0
Apr-10,14667,1937,2691,6938,3098,31,936,66,4303,25,10,17,112,_04,0,0,0,1,0,0,0,0,0,0,0,0
May-10,16336,1252,2389,6905,5787,124,15475,15,220,27,16,22,113,_05,0,0,0,0,1,0,0,0,0,0,0,0
Jun-10,20764,942,1977,6890,10952,260,67496,0,0,33,21,27,114,_06,0,0,0,0,0,1,0,0,0,0,0,0
Jul-10,21588,883,1926,6773,12003,289,83598,0,0,34,22,28,115,_07,0,0,0,0,0,0,1,0,0,0,0,0
Aug-10,20403,904,2092,7105,10299,269,72236,0,0,32,22,27,116,_08,0,0,0,0,0,0,0,1,0,0,0,0
Sep-10,16263,1011,2433,7014,5803,181,32821,1,2,31,18,24,117,_09,0,0,0,0,0,0,0,0,1,0,0,0
Oct-10,17376,1873,3117,7762,4621,25,649,69,4807,24,10,17,118,_10,0,0,0,0,0,0,0,0,0,1,0,0
Nov-10,24848,7010,5190,8395,4250,0,0,236,55617,17,4,10,119,_11,0,0,0,0,0,0,0,0,0,0,1,0
Dec-10,44993,19166,10645,9166,6013,0,0,528,279136,6,-4,1,120,_12,0,0,0,0,0,0,0,0,0,0,0,1
Jan-11,41316,17009,9522,10100,4681,0,0,484,234353,8,-3,3,121,_01,1,0,0,0,0,0,0,0,0,0,0,0
Feb-11,28258,9734,6169,8880,3473,1,1,279,78102,15,2,8,122,_02,0,1,0,0,0,0,0,0,0,0,0,0
Mar-11,26456,7399,5460,9149,4445,5,22,241,58226,17,5,11,123,_03,0,0,1,0,0,0,0,0,0,0,0,0
Apr-11,17165,2890,2761,7820,3691,39,1537,75,5665,24,10,17,124,_04,0,0,0,1,0,0,0,0,0,0,0,0
May-11,19834,1348,2568,7768,8148,100,9914,24,589,27,15,21,125,_05,0,0,0,0,1,0,0,0,0,0,0,0
Jun-11,21001,962,2133,7322,10582,233,54289,0,0,33,20,26,126,_06,0,0,0,0,0,1,0,0,0,0,0,0
Jul-11,24168,889,1980,7247,14049,297,87932,0,0,34,22,28,127,_07,0,0,0,0,0,0,1,0,0,0,0,0
Aug-11,22004,1066,2465,7646,10826,248,61537,0,0,32,21,26,128,_08,0,0,0,0,0,0,0,1,0,0,0,0
Sep-11,18096,1048,2382,7506,7157,131,17170,10,95,27,17,22,129,_09,0,0,0,0,0,0,0,0,1,0,0,0
Oct-11,21311,2812,3931,8383,6183,9,86,119,14058,21,8,15,130,_10,0,0,0,0,0,0,0,0,0,1,0,0
Nov-11,27931,6982,4446,8531,7969,5,28,204,41575,18,5,12,131,_11,0,0,0,0,0,0,0,0,0,0,1,0
Dec-11,32941,9506,6081,8758,8594,0,0,297,88229,15,3,9,132,_12,0,0,0,0,0,0,0,0,0,0,0,1
Jan-12,40964,13091,8072,9703,10096,0,0,354,125410,13,1,7,133,_01,1,0,0,0,0,0,0,0,0,0,0,0
Feb-12,38680,10105,6583,9092,12898,0,0,299,89341,14,2,8,134,_02,0,1,0,0,0,0,0,0,0,0,0,0
Mar-12,27015,4113,3545,8638,10717,24,584,105,11102,22,9,16,135,_03,0,0,1,0,0,0,0,0,0,0,0,0
Apr-12,24502,2349,3370,8003,10778,22,480,103,10520,22,9,16,136,_04,0,0,0,1,0,0,0,0,0,0,0,0
May-12,24744,1452,2205,8008,13077,119,14042,8,61,28,16,22,137,_05,0,0,0,0,1,0,0,0,0,0,0,0
Jun-12,24432,1135,2433,7571,13291,159,25302,1,1,30,17,24,138,_06,0,0,0,0,0,1,0,0,0,0,0,0
Jul-12,30979,901,1976,7495,20603,300,89900,0,0,34,22,28,139,_07,0,0,0,0,0,0,1,0,0,0,0,0
